time,S0,S1,S2
0,0.904980434,0.599335542,0.161649571
0.2,0.709774204,0.775702471,0.188451869
0.4,0.547063586,0.916747881,0.222868925
0.6,0.411889234,0.977986598,0.262615246
0.8,0.313579691,0.996604221,0.297496168
1,0.236679004,,0.354175794
1.2,0.180055146,1.041753123,0.410275764
1.4,0.139997628,1.069674312,0.432742522
1.6,0.106981971,1.061115413,0.477090923
1.8,0.083614105,1.027292475,0.529701633
2,0.06310671,1.05134074,0.57710463
2.2,,1.007198033,0.605111571
2.4,0.037672347,0.922115815,0.642557866
2.6,0.029008152,0.936272757,0.70206266
2.8,0.022143463,,0.718508621
3,0.01678454,,0.791728061
3.2,0.013142572,,0.820150948
3.4,0.009971078,,0.859067156
3.6,0.007861298,,0.867721687
3.8,0.005898737,,0.929674752
4,0.004500086,,0.924861486
4.2,0.003402566,,0.99784069
4.4,0.002667254,,
4.6,0.002029985,,1.061365241
4.8,0.001576029,,1.00319243
5,0.001232555,,1.06831138
5.2,0.000935097,,1.097870261
5.4,0.000720638,,1.114593899
5.6,0.000540851,0.503560046,1.168530166
5.8,0.000423574,0.480811081,1.183846533
6,0.000324567,,1.174919874
6.2,0.000247043,0.444220571,1.172796189
6.4,0.000191839,0.430295217,1.224583136
6.6,0.000145966,0.399194902,1.235164794
6.8,0.000111701,0.386100429,1.257893888
7,2.57445E-05,0.366041496,1.268476584
7.2,-3.56947E-05,,1.285698255
7.4,-9.71339E-05,0.327239657,1.302919926
7.6,-0.000158573,0.307838737,1.320141597
7.8,-0.000220012,0.288437817,1.337363268
8,-0.000281452,0.269036897,1.354584938
8.2,-0.000342891,0.249635977,1.371806609
8.4,-0.00040433,,1.38902828
8.6,-0.000465769,0.210834138,1.406249951
8.8,-0.000527208,0.191433218,1.423471622
